date,time,chamber_temperature_c,d_t_m_v,wet_bulb_depression_m_v,corrected_water_potential_m_pa,intercept,slope,edbo,correction_for_d_t_m_pa,internal_battery_voltage_v,internal_battery_temperature_c,external_power_supply_present,external_power_supply_voltage_v,external_power_supply_current_m_a,diagnostic_comment,dt
2023-02-18,06:00:00,4.39,-0.26,5.23,-2.75,0.37,-4.21,-0.51,-0.03,3.64,10.7,not present,0,0,NA,2023-02-18T13:00:00Z
2023-02-18,06:30:00,5.6,0,5.24,-2.52,0.37,-4.21,-0.4,0,3.63,11,not present,0,0,NA,2023-02-18T13:30:00Z
2023-02-18,07:00:00,5.99,-0.34,5.74,-2.76,0.37,-4.21,-0.58,-0.05,3.63,11.2,not present,0,0,NA,2023-02-18T14:00:00Z
2023-02-18,07:30:01,4.6,-0.42,5.51,-2.88,0.37,-4.21,0.45,-0.06,3.62,10.8,not present,0,0,NA,2023-02-18T14:30:01Z
2023-02-18,08:00:01,6.23,-0.08,5.34,-2.5,0.37,-4.21,-0.2,-0.01,3.64,13.6,not present,0,0,NA,2023-02-18T15:00:01Z
2023-02-18,08:30:00,10.41,-0.3,6.83,-2.63,0.37,-4.21,-0.55,-0.04,3.79,19.5,not present,0,0,NA,2023-02-18T15:30:00Z
2023-02-18,09:00:00,13.91,-0.6,9.56,-3.23,0.37,-4.21,0.58,-0.08,4.19,25.5,present,20.4,51.3,NA,2023-02-18T16:00:00Z
2023-02-18,09:30:00,16.36,-0.66,12.17,-3.77,0.37,-4.21,1.33,-0.09,4.2,27.4,present,20.66,44.7,NA,2023-02-18T16:30:00Z
2023-02-18,10:00:00,18.2,-0.93,13.64,-4.01,0.37,-4.21,1.93,-0.12,4.2,28.6,present,20.72,42.3,NA,2023-02-18T17:00:00Z
2023-02-18,10:30:00,20.01,-1.02,15.1,-4.19,0.37,-4.21,2.48,-0.14,4.2,29.8,present,20.49,41.1,NA,2023-02-18T17:30:00Z
2023-02-18,11:00:01,21.49,-0.99,14.71,-3.9,0.37,-4.21,2.08,-0.13,4.2,30.7,present,20.31,39.9,NA,2023-02-18T18:00:01Z
